country,year,ngdp_rpch
AZQ,2016,2.9
AZQ,2017,2.5
AZQ,2018,2.9
AZQ,2019,2.1
AZQ,2020,-1.9
AZQ,2021,5.4
AZQ,2022,4.0
AZQ,2023,2.1
AZQ,2024,0.8
AZQ,2025,1.7
AZQ,2026,2.0
AZQ,2027,1.8
AZQ,2028,1.9
AZQ,2029,2.1
AZQ,2030,2.3
AZQ,2031,2.3
BDI,1980,-6.8
BDI,1981,12.2
BDI,1982,-1.1
BDI,1983,3.7
BDI,1984,0.2
BDI,1985,11.8
BDI,1986,3.2
BDI,1987,5.5
BDI,1988,5.0
BDI,1989,1.3
BDI,1990,3.5
BDI,1991,5.8
BDI,1992,1.0
BDI,1993,-6.2
BDI,1994,-3.8
BDI,1995,-7.9
BDI,1996,-8.0
BDI,1997,0.4
BDI,1998,4.8
BDI,1999,1.2
BDI,2000,1.8
BDI,2001,1.7
BDI,2002,2.4
BDI,2003,2.5
BDI,2004,3.8
BDI,2005,4.4
BDI,2006,5.4
BDI,2007,3.5
BDI,2008,4.9
BDI,2009,3.8
BDI,2010,5.1
BDI,2011,4.0
BDI,2012,4.4
BDI,2013,4.9
BDI,2014,4.2
BDI,2015,-3.9
BDI,2016,-0.6
BDI,2017,0.5
BDI,2018,1.6
BDI,2019,1.8
BDI,2020,0.3
BDI,2021,3.1
BDI,2022,1.8
BDI,2023,2.7
BDI,2024,4.1
BDI,2025,3.9
BDI,2026,3.8
BDI,2027,4.2
BDI,2028,4.0
BDI,2029,4.1
BDI,2030,4.1
BDI,2031,4.2
BEL,1980,4.4
BEL,1981,-0.3
BEL,1982,0.6
BEL,1983,0.3
BEL,1984,2.5
BEL,1985,1.7
BEL,1986,1.8
BEL,1987,2.3
BEL,1988,4.7
BEL,1989,3.5
BEL,1990,3.1
BEL,1991,1.8
BEL,1992,1.5
BEL,1993,-1.0
BEL,1994,3.2
BEL,1995,2.4
BEL,1996,1.3
BEL,1997,3.8
BEL,1998,2.0
BEL,1999,3.5
BEL,2000,3.7
BEL,2001,1.1
BEL,2002,1.7
BEL,2003,1.0
BEL,2004,3.6
BEL,2005,2.3
BEL,2006,2.6
BEL,2007,3.7
BEL,2008,0.4
BEL,2009,-1.9
BEL,2010,2.7
BEL,2011,1.9
BEL,2012,0.2
BEL,2013,0.3
BEL,2014,1.8
BEL,2015,1.5
BEL,2016,1.2
BEL,2017,1.5
BEL,2018,1.9
BEL,2019,2.4
BEL,2020,-4.8
BEL,2021,6.3
BEL,2022,4.0
BEL,2023,1.7
BEL,2024,1.1
BEL,2025,1.0
BEL,2026,0.7
BEL,2027,1.1
BEL,2028,1.1
BEL,2029,1.2
BEL,2030,1.3
BEL,2031,1.3
BEN,1980,9.3
BEN,1981,1.9
BEN,1982,1.7
BEN,1983,-2.0
BEN,1984,0.4
BEN,1985,4.3
BEN,1986,2.7
BEN,1987,-2.1
BEN,1988,3.4
BEN,1989,-2.8
BEN,1990,9.0
BEN,1991,4.2
BEN,1992,3.0
BEN,1993,5.8
BEN,1994,2.0
BEN,1995,6.0
BEN,1996,4.3
BEN,1997,5.7
BEN,1998,4.0
BEN,1999,4.4
BEN,2000,5.9
BEN,2001,5.3
BEN,2002,4.6
BEN,2003,3.4
BEN,2004,4.4
BEN,2005,1.7
BEN,2006,3.9
BEN,2007,6.0
BEN,2008,4.9
BEN,2009,2.3
BEN,2010,2.1
BEN,2011,3.0
BEN,2012,4.8
BEN,2013,7.2
BEN,2014,6.4
BEN,2015,1.8
BEN,2016,3.3
BEN,2017,5.6
BEN,2018,6.6
BEN,2019,7.1
BEN,2020,3.8
BEN,2021,7.2
BEN,2022,6.3
BEN,2023,6.4
BEN,2024,7.5
BEN,2025,7.5
BEN,2026,7.0
BEN,2027,6.7
BEN,2028,6.6
BEN,2029,6.5
BEN,2030,6.0
BEN,2031,6.0
BFA,1980,4.0
BFA,1981,2.7
BFA,1982,1.4
BFA,1983,-1.2
BFA,1984,1.6
BFA,1985,11.3
BFA,1986,8.0
BFA,1987,-0.2
BFA,1988,5.8
BFA,1989,2.2
BFA,1990,-0.6
BFA,1991,9.1
BFA,1992,0.2
BFA,1993,3.5
BFA,1994,1.3
BFA,1995,5.7
BFA,1996,11.0
BFA,1997,6.3
BFA,1998,7.3
BFA,1999,7.3
BFA,2000,1.9
BFA,2001,6.6
BFA,2002,4.4
BFA,2003,7.8
BFA,2004,4.5
BFA,2005,8.7
BFA,2006,6.3
BFA,2007,4.1
BFA,2008,5.8
BFA,2009,3.0
BFA,2010,8.4
BFA,2011,6.6
BFA,2012,6.5
BFA,2013,5.8
BFA,2014,4.3
BFA,2015,3.9
BFA,2016,6.0
BFA,2017,6.2
BFA,2018,6.6
BFA,2019,5.9
BFA,2020,2.0
BFA,2021,6.9
BFA,2022,1.6
BFA,2023,3.0
BFA,2024,4.8
BFA,2025,5.0
BFA,2026,4.9
BFA,2027,4.8
BFA,2028,4.8
BFA,2029,4.8
BFA,2030,4.8
BFA,2031,4.9
BGD,1981,3.8
BGD,1982,2.4
BGD,1983,4.0
BGD,1984,5.2
BGD,1985,3.2
BGD,1986,4.2
BGD,1987,3.7
BGD,1988,2.2
BGD,1989,2.6
BGD,1990,5.9
BGD,1991,3.3
BGD,1992,5.0
BGD,1993,4.6
BGD,1994,4.1
BGD,1995,4.9
BGD,1996,4.6
BGD,1997,4.5
BGD,1998,5.2
BGD,1999,4.7
BGD,2000,5.3
BGD,2001,5.1
BGD,2002,3.8
BGD,2003,4.7
BGD,2004,5.2
BGD,2005,6.5
BGD,2006,6.7
BGD,2007,7.1
BGD,2008,6.0
BGD,2009,5.0
BGD,2010,5.6
BGD,2011,6.5
BGD,2012,6.5
BGD,2013,6.0
BGD,2014,6.1
BGD,2015,6.6
BGD,2016,7.1
BGD,2017,6.6
BGD,2018,7.3
BGD,2019,7.9
BGD,2020,3.4
BGD,2021,6.9
BGD,2022,7.1
BGD,2023,5.8
BGD,2024,4.2
BGD,2025,3.5
BGD,2026,4.7
BGD,2027,4.3
BGD,2028,4.5
BGD,2029,5.7
BGD,2030,5.8
BGD,2031,6.1
BGR,1980,5.7
BGR,1981,5.3
BGR,1982,4.2
BGR,1983,3.0
BGR,1984,4.6
BGR,1985,1.8
BGR,1986,5.3
BGR,1987,4.7
BGR,1988,2.4
BGR,1989,-0.5
BGR,1990,-9.1
BGR,1991,-10.8
BGR,1992,-8.4
BGR,1993,-11.6
BGR,1994,-3.7
BGR,1995,-1.6
BGR,1996,5.2
BGR,1997,-14.1
BGR,1998,3.8
BGR,1999,-8.4
BGR,2000,4.6
BGR,2001,3.8
BGR,2002,5.9
BGR,2003,5.2
BGR,2004,6.5
BGR,2005,7.1
BGR,2006,6.8
BGR,2007,6.7
BGR,2008,6.1
BGR,2009,-3.3
BGR,2010,1.6
BGR,2011,2.1
BGR,2012,0.7
BGR,2013,-0.5
BGR,2014,0.9
BGR,2015,3.4
BGR,2016,3.0
BGR,2017,2.7
BGR,2018,2.3
BGR,2019,3.8
BGR,2020,-3.1
BGR,2021,7.8
BGR,2022,4.1
BGR,2023,1.7
BGR,2024,3.4
BGR,2025,3.1
BGR,2026,2.8
BGR,2027,2.5
BGR,2028,2.8
BGR,2029,2.6
BGR,2030,2.6
BGR,2031,2.6
BHR,1980,7.5
BHR,1981,2.8
BHR,1982,6.4
BHR,1983,7.0
BHR,1984,4.2
BHR,1985,-0.9
BHR,1986,0.5
BHR,1987,-1.2
BHR,1988,6.0
BHR,1989,1.0
BHR,1990,3.5
BHR,1991,2.3
BHR,1992,7.1
BHR,1993,7.6
BHR,1994,3.2
BHR,1995,1.9
BHR,1996,3.2
BHR,1997,2.3
BHR,1998,4.8
BHR,1999,6.0
BHR,2000,7.0
BHR,2001,2.5
BHR,2002,3.3
BHR,2003,6.3
BHR,2004,7.0
BHR,2005,6.8
BHR,2006,6.5
BHR,2007,8.3
BHR,2008,6.2
BHR,2009,2.5
BHR,2010,4.3
BHR,2011,1.9
BHR,2012,3.8
BHR,2013,5.3
BHR,2014,4.3
BHR,2015,2.5
BHR,2016,3.8
BHR,2017,5.0
BHR,2018,2.1
BHR,2019,2.1
BHR,2020,-5.9
BHR,2021,4.4
BHR,2022,6.2
BHR,2023,3.9
BHR,2024,2.9
BHR,2025,3.1
BHR,2026,-0.5
BHR,2027,4.5
BHR,2028,2.8
BHR,2029,2.9
BHR,2030,3.1
BHR,2031,3.3
BHS,1980,7.1
BHS,1981,-2.9
BHS,1982,6.3
BHS,1983,6.8
BHS,1984,2.4
BHS,1985,4.1
BHS,1986,2.6
BHS,1987,3.7
BHS,1988,2.3
BHS,1989,2.3
BHS,1990,1.1
BHS,1991,-4.2
BHS,1992,-3.8
BHS,1993,0.3
BHS,1994,3.1
BHS,1995,4.4
BHS,1996,4.2
BHS,1997,4.9
BHS,1998,4.7
BHS,1999,7.1
BHS,2000,4.1
BHS,2001,2.6
BHS,2002,2.7
BHS,2003,-1.3
BHS,2004,0.9
BHS,2005,3.4
BHS,2006,2.5
BHS,2007,1.4
BHS,2008,-2.3
BHS,2009,-4.2
BHS,2010,1.5
BHS,2011,0.6
BHS,2012,4.6
BHS,2013,-2.9
BHS,2014,1.8
BHS,2015,1.0
BHS,2016,-1.2
BHS,2017,3.4
BHS,2018,2.4
BHS,2019,-0.8
BHS,2020,-20.1
BHS,2021,17.6
BHS,2022,10.9
BHS,2023,3.0
BHS,2024,3.4
BHS,2025,2.8
BHS,2026,2.1
BHS,2027,1.9
BHS,2028,1.8
BHS,2029,1.5
BHS,2030,1.5
BHS,2031,1.5
BIH,1995,20.7
