id,id_label,sector_52,emp
3400,DI YOGYAKARTA,40,25721
3400,DI YOGYAKARTA,41,201974
3400,DI YOGYAKARTA,42,18903
3400,DI YOGYAKARTA,43,19163
3400,DI YOGYAKARTA,44,2945
3400,DI YOGYAKARTA,46,6103
3400,DI YOGYAKARTA,47,5923
3400,DI YOGYAKARTA,48,62545
3400,DI YOGYAKARTA,49,67403
3400,DI YOGYAKARTA,50,131777
3400,DI YOGYAKARTA,51,37339
3400,DI YOGYAKARTA,52,1339
3500,JAWA TIMUR,1,3283899
3500,JAWA TIMUR,2,498743
3500,JAWA TIMUR,3,1243147
3500,JAWA TIMUR,4,1957838
3500,JAWA TIMUR,5,428660
3500,JAWA TIMUR,6,116866
3500,JAWA TIMUR,7,250007
3500,JAWA TIMUR,8,5690
3500,JAWA TIMUR,9,14959
3500,JAWA TIMUR,10,169282
3500,JAWA TIMUR,11,20065
3500,JAWA TIMUR,12,1040643
3500,JAWA TIMUR,13,368187
3500,JAWA TIMUR,14,456153
3500,JAWA TIMUR,15,158082
3500,JAWA TIMUR,16,361879
3500,JAWA TIMUR,17,103921
3500,JAWA TIMUR,18,102572
3500,JAWA TIMUR,19,2318
3500,JAWA TIMUR,20,143706
3500,JAWA TIMUR,21,106314
3500,JAWA TIMUR,22,19752
3500,JAWA TIMUR,23,201127
3500,JAWA TIMUR,24,58065
3500,JAWA TIMUR,25,38941
3500,JAWA TIMUR,26,174005
3500,JAWA TIMUR,27,211267
3500,JAWA TIMUR,28,34250
3500,JAWA TIMUR,29,4769
3500,JAWA TIMUR,30,122376
3500,JAWA TIMUR,31,1459002
3500,JAWA TIMUR,32,15883
3500,JAWA TIMUR,33,4285824
3500,JAWA TIMUR,34,6088
3500,JAWA TIMUR,35,441910
3500,JAWA TIMUR,36,11220
3500,JAWA TIMUR,37,11060
3500,JAWA TIMUR,38,3876
3500,JAWA TIMUR,39,283994
3500,JAWA TIMUR,40,93158
3500,JAWA TIMUR,41,1767174
3500,JAWA TIMUR,42,103847
3500,JAWA TIMUR,43,174200
3500,JAWA TIMUR,44,5999
3500,JAWA TIMUR,45,533
3500,JAWA TIMUR,46,48136
3500,JAWA TIMUR,47,45454
3500,JAWA TIMUR,48,380988
3500,JAWA TIMUR,49,421966
3500,JAWA TIMUR,50,1130792
3500,JAWA TIMUR,51,330900
3500,JAWA TIMUR,52,2553
3600,BANTEN,1,561944
3600,BANTEN,2,61661
3600,BANTEN,3,27207
3600,BANTEN,4,49725
3600,BANTEN,5,139422
3600,BANTEN,6,29270
3600,BANTEN,7,39848
3600,BANTEN,8,5490
3600,BANTEN,9,6790
3600,BANTEN,10,56286
3600,BANTEN,11,1372
3600,BANTEN,12,256055
3600,BANTEN,13,1475
3600,BANTEN,14,204331
3600,BANTEN,15,197929
3600,BANTEN,16,30933
3600,BANTEN,17,58925
3600,BANTEN,18,34185
